TITLE = "B0000001 Polynomial order: 2 Length: 5, Positions are unfiltered"
VARIABLES = "x[mm]" "y[mm]" "z[mm]" "I" "Vx[m/s]" "Vy[m/s]" "Vz[m/s]" "|V|[m/s]" "trackID" "Ax[m/s²]" "Ay[m/s²]" "Az[m/s²]" "|A|[m/s²]" "Absolute intensity[]" "UncertaintyX[mm]" "UncertaintyY[mm]" "UncertaintyZ[mm]" "UncertaintyVx[m/s]" "UncertaintyVy[m/s]" "UncertaintyVz[m/s]" "UncertaintyV[m/s]" "UncertaintyAx[m/s²]" "UncertaintyAy[m/s²]" "UncertaintyAz[m/s²]" "UncertaintyA[m/s²]"
ZONE T="Snapshot 0000"
STRANDID=1, SOLUTIONTIME=0.03550157
I=2162, J=1, K=1, ZONETYPE = Ordered
DATAPACKING = POINT
-35.27 -15.35 17.64 1.509 -0.1099 -0.02279 -0.1753 0.2082 38 -5.436 9.181 -17.1 20.16 750.5 0 0 0 0.01318 0.006936 0.02014 0.02505 12.64 6.651 19.31 24.02
-1.055 -20.7 4.921 0.5712 -0.1002 -0.08902 -0.07404 0.1531 39 -10.49 -14.07 13.58 22.19 228.2 0 0 0 0.01787 0.01169 0.02095 0.02992 17.14 11.21 20.09 28.69
17.62 -0.5215 11.49 1.388 -0.06386 -0.03904 0.1959 0.2097 40 -26.63 14.86 -19.28 36.08 630.5 0 0 0 0.03528 0.003639 0.02864 0.04559 33.84 3.49 27.46 43.72
41.64 10.62 2.552 0.7138 0.005417 0.02231 0.2236 0.2248 41 -9.435 20.59 -19.85 30.12 250.7 0 0 0 0.02185 0.02441 0.00725 0.03355 20.95 23.41 6.952 32.17
13.99 -5.465 1.524 0.5524 -0.03191 0.0449 0.2248 0.2315 42 -1.906 -7.22 -9.177 11.83 195.1 0 0 0 0.001726 0.009179 0.007187 0.01178 1.655 8.802 6.892 11.3
36.57 -25.92 16.17 1.07 -0.08521 0.009351 0.2195 0.2356 43 3.896 -10.63 -15.31 19.04 485.4 0 0 0 0.001849 0.00813 0.01127 0.01402 1.773 7.797 10.81 13.45
17.96 -0.4764 7.938 0.9526 -0.08192 0.002173 0.167 0.186 44 16.35 -18.19 31.82 40.13 399.3 0 0 0 0.01853 0.009432 0.00798 0.02227 17.77 9.045 7.652 21.36
-28.66 25.16 1.924 0.9331 -0.03581 -0.03037 -0.197 0.2025 45 -13.12 -10.35 -13.86 21.71 312.8 0 0 0 0.0155 0.0142 0.02493 0.03261 14.86 13.62 23.91 31.27
-28.92 25.47 6.866 1.128 -0.08901 -0.03241 -0.2216 0.241 46 -18.8 -3.177 6.905 20.28 429.6 0 0 0 0.0143 0.0122 0.01731 0.02555 13.71 11.7 16.6 24.5
-10.46 25.06 18.64 1.343 -0.2073 -0.02799 -0.03016 0.2113 47 -3.052 -4.006 -17.88 18.57 581.6 0 0 0 0.01596 0.01281 0.01142 0.02343 15.3 12.28 10.95 22.47
-38.79 -26.53 14.64 1.464 -0.06784 -0.04184 -0.1979 0.2133 48 4.721 17.67 0.9316 18.31 675.2 0 0 0 0.01351 0.001732 0.003447 0.01405 12.96 1.661 3.306 13.47
-3.091 -1.653 4.942 1.204 -0.08261 -0.1234 0.02723 0.151 49 -27.35 7.905 0.9423 28.48 460.6 0 0 0 0.01524 0.003257 0.02483 0.02931 14.61 3.123 23.81 28.11
7.976 3.908 0.1448 0.5464 0.01578 0.0702 0.229 0.24 50 -30.26 -14.6 -17.12 37.71 188.7 0 0 0 0.01223 0.006937 0.02742 0.03081 11.72 6.652 26.29 29.55
-4.275 2.095 4.416 1.471 -0.1222 -0.1314 0.05042 0.1864 51 0.191 2.39 -6.698 7.114 546.2 0 0 0 0.009553 0.009279 0.007955 0.01551 9.161 8.898 7.629 14.88
-2.229 -7.324 6.384 0.6589 -0.127 -0.08221 -0.02412 0.1532 52 -2.878 -4.223 39.27 39.6 266.3 0 0 0 0.0178 0.01783 0.02835 0.03793 17.06 17.1 27.18 36.37
38.25 13.37 18.76 1.134 -0.07172 0.04713 0.1688 0.1893 53 6.265 -6.954 -4.785 10.51 486.6 0 0 0 0.01005 0.02686 0.01546 0.03258 9.634 25.76 14.83 31.24
38.23 -15.24 2.561 0.4115 0.01392 0.0598 0.2423 0.2499 54 -11.35 -36.99 -23.91 45.48 147 0 0 0 0.00882 0.01486 0.04132 0.04479 8.457 14.25 39.62 42.95
2.428 -18.18 15.99 1.8 -0.2612 -0.01717 0.02563 0.263 55 27.61 -15.65 -4.215 32.01 877.7 0 0 0 0.02206 0.006802 0.02795 0.03625 21.16 6.522 26.8 34.76
-31.16 -3.195 19.87 2.044 -0.1469 0.0005216 -0.1865 0.2374 56 23.26 -8.137 17.71 30.35 968.6 0 0 0 0.01215 0.006326 0.01961 0.02392 11.65 6.066 18.8 22.94
25.17 -12.55 2.085 0.3758 0.004511 -0.001093 0.1843 0.1844 57 -13.9 0.06791 13.39 19.3 132.7 0 0 0 0.007377 0.01472 0.01706 0.02371 7.074 14.12 16.36 22.74
16.13 30.3 8.842 0.9814 -0.0825 -0.04185 0.1986 0.2191 58 -8.37 9.667 -17.7 21.83 384.2 0 0 0 0.03709 0.01846 0.01289 0.04339 35.57 17.7 12.36 41.61
15.13 -22.92 10.27 0.8618 -0.1255 -0.005918 0.2029 0.2386 59 -15.41 -5.053 -15.65 22.54 385.7 0 0 0 0.005507 0.01242 0.006257 0.01496 5.28 11.91 6 14.34
